_ArtistIDpk,ARTIST_nameonlabel,Artist_Last_First,ArtistNameFirst,ArtistNameLast,Artist_yearofbirth,Artist_countryofbirth,Artist_country,Artist_gender,Artist_website,ARTIST_Bio
1555,Fannie E. Coburn,"Coburn, Fannie",Fannie E.,Coburn,,,,,,
1466,Doug Cocker,"Cocker, Doug",Doug,Cocker,,,,,,
942,Andy Cohen,"Cohen, Andy",Andy,Cohen,,,UK,,,
1239,Harold Cohen,"Cohen, Harold",Harold,Cohen,,,,,,
448,Revital Cohen,"Cohen, Revital",Revital,Cohen,,,,,,
1422,James Coleman,"Coleman, James",James,Coleman,,,,,,
1198,John Coleman,"Coleman, John",John,Coleman,,,,,,
398,Nathan Coley,"Coley, Nathan",Nathan,Coley,,,,,,
1126,Collier & Campbell,Collier & Campbell,,Collier & Campbell,,,,,,
708,Andrew Collins,"Collins, Andrew",Andrew,Collins,,,,,,
192,Hannah Collins,"Collins, Hannah",Hannah,Collins,1956,,,,,
524,Susan Collins,"Collins, Susan",Susan,Collins,1964,UK,UK,,,
1197,David Colwell,"Colwell, David",David,Colwell,,,,,,
1189,Robert Combas,"Combas, Robert",Robert,Combas,,,France,,,
541,Thomas Joshua Cooper,"Cooper, Thomas Joshua",Thomas Joshua,Cooper,,,USA,,,
624,Copenhagen Free University,Copenhagen Free University,,Copenhagen Free University,,,Denmark,,,Artists: Jakob Jakobsen and Henriette Heise
972,Leo Copers,"Copers, Leo",Leo,Copers,,,,,,
919,Corominas,Corominas,,Corominas,,,"Spain, Catalonia",,,
1190,Vincent Corpet,"Corpet, Vincent",Vincent,Corpet,,,France,,,
845,Vittorio Corsini,"Corsini, Vittorio",Vittorio,Corsini,,,Italy,,,
920,Montserrat Costa,"Costa, Montserrat",Montserrat,Costa,,,"Spain, Catalonia",,,
921,Narcís Costa,"Costa, Narcís",Narcís,Costa,,,"Spain, Catalonia",,,
113,David Cotterrell,"Cotterrell, David",David,Cotterrell,,,UK,,www.cotterrell.com,
183,Gustave Courbet (1819–77),"Courbet, Gustave",Gustave,Courbet,1819,,France,,,
283,Judith Cowan,"Cowan, Judith",Judith,Cowan,,,,,,
680,Gabi Cowburn,"Cowburn, Gabi",Gabi,Cowburn,,,,,,
812,Stephen Cox,"Cox, Stephen",Stephen,Cox,,,,,,
387,Molly Crabapple,"Crabapple, Molly",Molly,Crabapple,,,,,,
1273,Tony Cragg,"Cragg, Tony",Tony,Cragg,,,,,,
1526,Michael Craig-Martin,"Craig-Martin, Michael",Michael,Craig-Martin,,,,,,
653,Osbert Guy Stanhope Crawford,"Crawford, Osbert",Osbert,Crawford,1886 – 1957,,,,,
357,Martin Creed,"Creed, Martin",Martin,Creed,,,,,,
1415,Dave Critchley,"Critchley, Dave",Dave,Critchley,,,,,,
514,Stephen Critchley,"Critchley, Stephen",Stephen,Critchley,,,,,,
617,Andrew Cross,"Cross, Andrew",Andrew,Cross,,,,,,
134,Dorothy Cross,"Cross, Dorothy",Dorothy,Cross,,,,,,
114,David Crosswaite,"Crosswaite, David",David,Crosswaite,,,,,,
609,Nick Crowe and Ian Rawlinson,Crowe & Rawlinson,,Crowe & Rawlinson,,,,,,
98,Colin Crumplin,"Crumplin, Colin",Colin,Crumplin,,,,,,
282,Juan Cruz,"Cruz, Juan",Juan,Cruz,,,,,,
